Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
15,Resto de criminalidad convencional,ene-mar 2023,1280,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-mar 2023,490,aculumado
17,Estafas informáticas,ene-mar 2023,480,aculumado
18,Otros ciberdelitos,ene-mar 2023,10,aculumado
19,TOTAL INFRACCIONES PENALES,ene-mar 2023,3358,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-mar 2024,3249,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-mar 2024,0,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-mar 2024,3,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-mar 2024,33,aculumado
5,Secuestro,ene-mar 2024,0,aculumado
6,Delitos contra la libertad sexual,ene-mar 2024,21,aculumado
7,Agresión sexual con penetración,ene-mar 2024,10,aculumado
8,Resto de delitos contra la libertad sexual,ene-mar 2024,11,aculumado
9,Robos con violencia e intimidación,ene-mar 2024,405,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-mar 2024,179,aculumado
11,Robos con fuerza en domicilios,ene-mar 2024,112,aculumado
12,Hurtos,ene-mar 2024,916,aculumado
13,Sustracciones de vehículos,ene-mar 2024,54,aculumado
14,Tráfico de drogas,ene-mar 2024,24,aculumado
15,Resto de criminalidad convencional,ene-mar 2024,1614,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-mar 2024,637,aculumado
17,Estafas informáticas,ene-mar 2024,615,aculumado
18,Otros ciberdelitos,ene-mar 2024,22,aculumado
19,TOTAL INFRACCIONES PENALES,ene-mar 2024,3886,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-sep 2022,8815,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-sep 2022,0,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-sep 2022,7,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-sep 2022,90,aculumado
5,Secuestro,ene-sep 2022,0,aculumado
6,Delitos contra la libertad sexual,ene-sep 2022,71,aculumado
7,Agresión sexual con penetración,ene-sep 2022,29,aculumado
8,Resto de delitos contra la libertad sexual,ene-sep 2022,42,aculumado
9,Robos con violencia e intimidación,ene-sep 2022,1070,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-sep 2022,671,aculumado
11,Robos con fuerza en domicilios,ene-sep 2022,376,aculumado
12,Hurtos,ene-sep 2022,2890,aculumado
13,Sustracciones de vehículos,ene-sep 2022,173,aculumado
14,Tráfico de drogas,ene-sep 2022,42,aculumado
15,Resto de criminalidad convencional,ene-sep 2022,3801,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-sep 2022,1454,aculumado
17,Estafas informáticas,ene-sep 2022,1414,aculumado
18,Otros ciberdelitos,ene-sep 2022,40,aculumado
19,TOTAL INFRACCIONES PENALES,ene-sep 2022,10269,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-sep 2023,8804,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-sep 2023,2,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-sep 2023,8,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-sep 2023,98,aculumado
5,Secuestro,ene-sep 2023,0,aculumado
6,Delitos contra la libertad sexual,ene-sep 2023,90,aculumado
7,Agresión sexual con penetración,ene-sep 2023,31,aculumado
8,Resto de delitos contra la libertad sexual,ene-sep 2023,59,aculumado
9,Robos con violencia e intimidación,ene-sep 2023,998,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-sep 2023,440,aculumado
11,Robos con fuerza en domicilios,ene-sep 2023,290,aculumado
12,Hurtos,ene-sep 2023,2992,aculumado
13,Sustracciones de vehículos,ene-sep 2023,178,aculumado
14,Tráfico de drogas,ene-sep 2023,47,aculumado
15,Resto de criminalidad convencional,ene-sep 2023,3951,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-sep 2023,1649,aculumado
17,Estafas informáticas,ene-sep 2023,1611,aculumado
18,Otros ciberdelitos,ene-sep 2023,38,aculumado
19,TOTAL INFRACCIONES PENALES,ene-sep 2023,10453,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-sep 2024,9669,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-sep 2024,2,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-sep 2024,12,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-sep 2024,121,aculumado
5,Secuestro,ene-sep 2024,0,aculumado
6,Delitos contra la libertad sexual,ene-sep 2024,75,aculumado
7,Agresión sexual con penetración,ene-sep 2024,36,aculumado
8,Resto de delitos contra la libertad sexual,ene-sep 2024,39,aculumado
9,Robos con violencia e intimidación,ene-sep 2024,1041,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-sep 2024,550,aculumado
11,Robos con fuerza en domicilios,ene-sep 2024,398,aculumado
12,Hurtos,ene-sep 2024,2852,aculumado
13,Sustracciones de vehículos,ene-sep 2024,177,aculumado
14,Tráfico de drogas,ene-sep 2024,66,aculumado
15,Resto de criminalidad convencional,ene-sep 2024,4773,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-sep 2024,1746,aculumado
17,Estafas informáticas,ene-sep 2024,1664,aculumado
18,Otros ciberdelitos,ene-sep 2024,82,aculumado
19,TOTAL INFRACCIONES PENALES,ene-sep 2024,11415,aculumado
1,CRIMINALIDAD CONVENCIONAL,2022-1,2920,trimestre
2,Homicidios dolosos y asesinatos consumados,2022-1,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2022-1,3,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2022-1,20,trimestre
5,Secuestro,2022-1,0,trimestre
6,Delitos contra la libertad sexual,2022-1,20,trimestre
7,Agresión sexual con penetración,2022-1,10,trimestre
8,Resto de delitos contra la libertad sexual,2022-1,10,trimestre
9,Robos con violencia e intimidación,2022-1,315,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2022-1,277,trimestre
11,Robos con fuerza en domicilios,2022-1,145,trimestre
12,Hurtos,2022-1,899,trimestre
13,Sustracciones de vehículos,2022-1,51,trimestre
14,Tráfico de drogas,2022-1,10,trimestre
15,Resto de criminalidad convencional,2022-1,1325,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2022-1,521,trimestre
17,Estafas informáticas,2022-1,508,trimestre
18,Otros ciberdelitos,2022-1,13,trimestre
19,TOTAL INFRACCIONES PENALES,2022-1,3441,trimestre
1,CRIMINALIDAD CONVENCIONAL,2022-2,2948,trimestre
2,Homicidios dolosos y asesinatos consumados,2022-2,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2022-2,0,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2022-2,37,trimestre
5,Secuestro,2022-2,0,trimestre
6,Delitos contra la libertad sexual,2022-2,23,trimestre
7,Agresión sexual con penetración,2022-2,7,trimestre
8,Resto de delitos contra la libertad sexual,2022-2,16,trimestre
9,Robos con violencia e intimidación,2022-2,350,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2022-2,215,trimestre
11,Robos con fuerza en domicilios,2022-2,122,trimestre
12,Hurtos,2022-2,989,trimestre
13,Sustracciones de vehículos,2022-2,51,trimestre
14,Tráfico de drogas,2022-2,16,trimestre
15,Resto de criminalidad convencional,2022-2,1267,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2022-2,434,trimestre
17,Estafas informáticas,2022-2,419,trimestre
18,Otros ciberdelitos,2022-2,15,trimestre
19,TOTAL INFRACCIONES PENALES,2022-2,3382,trimestre
1,CRIMINALIDAD CONVENCIONAL,2022-3,2947,trimestre
2,Homicidios dolosos y asesinatos consumados,2022-3,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2022-3,4,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2022-3,33,trimestre
5,Secuestro,2022-3,0,trimestre
6,Delitos contra la libertad sexual,2022-3,28,trimestre
7,Agresión sexual con penetración,2022-3,12,trimestre
8,Resto de delitos contra la libertad sexual,2022-3,16,trimestre
9,Robos con violencia e intimidación,2022-3,405,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2022-3,179,trimestre
11,Robos con fuerza en domicilios,2022-3,109,trimestre
12,Hurtos,2022-3,1002,trimestre
13,Sustracciones de vehículos,2022-3,71,trimestre
14,Tráfico de drogas,2022-3,16,trimestre
15,Resto de criminalidad convencional,2022-3,1209,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2022-3,499,trimestre
17,Estafas informáticas,2022-3,487,trimestre
18,Otros ciberdelitos,2022-3,12,trimestre
19,TOTAL INFRACCIONES PENALES,2022-3,3446,trimestre
1,CRIMINALIDAD CONVENCIONAL,2022-4,2910,trimestre
2,Homicidios dolosos y asesinatos consumados,2022-4,1,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2022-4,2,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2022-4,30,trimestre
5,Secuestro,2022-4,0,trimestre
6,Delitos contra la libertad sexual,2022-4,29,trimestre
7,Agresión sexual con penetración,2022-4,-3,trimestre
8,Resto de delitos contra la libertad sexual,2022-4,32,trimestre
9,Robos con violencia e intimidación,2022-4,392,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2022-4,169,trimestre
11,Robos con fuerza en domicilios,2022-4,91,trimestre
12,Hurtos,2022-4,935,trimestre
13,Sustracciones de vehículos,2022-4,78,trimestre
14,Tráfico de drogas,2022-4,8,trimestre
15,Resto de criminalidad convencional,2022-4,1266,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2022-4,517,trimestre
17,Estafas informáticas,2022-4,502,trimestre
18,Otros ciberdelitos,2022-4,15,trimestre
19,TOTAL INFRACCIONES PENALES,2022-4,3427,trimestre
1,CRIMINALIDAD CONVENCIONAL,2023-1,2868,trimestre
2,Homicidios dolosos y asesinatos consumados,2023-1,0,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2023-1,2,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2023-1,23,trimestre
5,Secuestro,2023-1,0,trimestre
6,Delitos contra la libertad sexual,2023-1,25,trimestre
7,Agresión sexual con penetración,2023-1,6,trimestre
8,Resto de delitos contra la libertad sexual,2023-1,19,trimestre
9,Robos con violencia e intimidación,2023-1,374,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2023-1,161,trimestre
11,Robos con fuerza en domicilios,2023-1,99,trimestre
12,Hurtos,2023-1,927,trimestre
13,Sustracciones de vehículos,2023-1,56,trimestre
14,Tráfico de drogas,2023-1,20,trimestre
15,Resto de criminalidad convencional,2023-1,1280,trimestre
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),2023-1,490,trimestre
17,Estafas informáticas,2023-1,480,trimestre
18,Otros ciberdelitos,2023-1,10,trimestre
19,TOTAL INFRACCIONES PENALES,2023-1,3358,trimestre
1,CRIMINALIDAD CONVENCIONAL,2023-2,2919,trimestre
2,Homicidios dolosos y asesinatos consumados,2023-2,2,trimestre
3,Homicidios dolosos y asesinatos en grado tentativa,2023-2,4,trimestre
4,Delitos graves y menos graves de lesiones y riña tumultuaria,2023-2,38,trimestre
5,Secuestro,2023-2,0,trimestre
6,Delitos contra la libertad sexual,2023-2,30,trimestre
7,Agresión sexual con penetración,2023-2,11,trimestre
8,Resto de delitos contra la libertad sexual,2023-2,19,trimestre
9,Robos con violencia e intimidación,2023-2,307,trimestre
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,2023-2,158,trimestre
11,Robos con fuerza en domicilios,2023-2,103,trimestre
